filed_date,fiscal_year,form,fiscal_period,company,ticker,category,Assets,CommonStockSharesOutstanding,IncomeTaxExpenseBenefit,Liabilities,NetIncomeLoss,OperatingIncomeLoss,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueRemainingPerformanceObligation,StockholdersEquity,BusinessCombinationProFormaInformationRevenueOfAcquireeSinceAcquisitionDateActual,ContractWithCustomerLiabilityChangeInTimeframePerformanceObligationSatisfiedRevenueRecognized,OperatingLeasesIncomeStatementMinimumLeaseRevenue,Revenues
2023-02-27,2022,10-K,FY,DoorDash,DASH,gig,6809000000.0,,3000000.0,2142000000.0,-461000000.0,-436000000.0,2886000000.0,,-1082000000.0,,,,
2023-05-05,2023,10-Q,Q1,DoorDash,DASH,gig,9789000000.0,,0.0,3021000000.0,-167000000.0,-173000000.0,1456000000.0,,4667000000.0,,,,
2023-08-02,2023,10-Q,Q2,DoorDash,DASH,gig,9789000000.0,,-9000000.0,3021000000.0,-167000000.0,-446000000.0,3064000000.0,,4667000000.0,,,,
2023-11-01,2023,10-Q,Q3,DoorDash,DASH,gig,9789000000.0,,-14000000.0,3021000000.0,-167000000.0,-754000000.0,4765000000.0,,4667000000.0,,,,
2024-02-20,2023,10-K,FY,DoorDash,DASH,gig,9789000000.0,,5000000.0,3021000000.0,-468000000.0,-452000000.0,4888000000.0,,4700000000.0,,,,
2024-05-01,2024,10-Q,Q1,DoorDash,DASH,gig,10839000000.0,,17000000.0,4026000000.0,-161000000.0,-171000000.0,2035000000.0,,6754000000.0,,,,
2024-08-01,2024,10-Q,Q2,DoorDash,DASH,gig,10839000000.0,,8000000.0,4026000000.0,-161000000.0,-382000000.0,4168000000.0,,6754000000.0,,,,
2024-10-30,2024,10-Q,Q3,DoorDash,DASH,gig,10839000000.0,,14000000.0,4026000000.0,-161000000.0,-490000000.0,6332000000.0,,6754000000.0,,,,
2025-02-14,2024,10-K,FY,DoorDash,DASH,gig,10839000000.0,,-31000000.0,4026000000.0,-1365000000.0,-1124000000.0,6583000000.0,,4667000000.0,,,,
2025-05-07,2025,10-Q,Q1,DoorDash,DASH,gig,12845000000.0,,7000000.0,5035000000.0,-23000000.0,-61000000.0,2513000000.0,,6806000000.0,,,,
2025-08-06,2025,10-Q,Q2,DoorDash,DASH,gig,12845000000.0,,8000000.0,5035000000.0,-23000000.0,-262000000.0,5143000000.0,,6806000000.0,,,,
2025-11-06,2025,10-Q,Q3,DoorDash,DASH,gig,12845000000.0,,2000000.0,5035000000.0,-23000000.0,-155000000.0,7849000000.0,,6806000000.0,,,,
2026-02-18,2025,10-K,FY,DoorDash,DASH,gig,12845000000.0,,31000000.0,5035000000.0,-558000000.0,-579000000.0,8635000000.0,,6754000000.0,,,,
2023-11-13,2023,10-Q,Q3,Instacart,CART,gig,3669000000.0,72230000.0,-2000000.0,911000000.0,-82000000.0,-40000000.0,1794000000.0,,-573000000.0,,,,
2024-03-05,2023,10-K,FY,Instacart,CART,gig,3669000000.0,72230000.0,1000000.0,911000000.0,-73000000.0,-86000000.0,1834000000.0,,-981000000.0,,,,
2024-05-10,2024,10-Q,Q1,Instacart,CART,gig,4727000000.0,279046000.0,36000000.0,800000000.0,128000000.0,150000000.0,759000000.0,,-64000000.0,,,,
2024-08-09,2024,10-Q,Q2,Instacart,CART,gig,4727000000.0,279046000.0,64000000.0,800000000.0,128000000.0,269000000.0,1475000000.0,,-64000000.0,,,,
2024-11-13,2024,10-Q,Q3,Instacart,CART,gig,4727000000.0,279046000.0,-376000000.0,800000000.0,128000000.0,-2188000000.0,2239000000.0,,-64000000.0,,,,
2025-02-28,2024,10-K,FY,Instacart,CART,gig,4727000000.0,279046000.0,-357000000.0,800000000.0,428000000.0,62000000.0,2551000000.0,,-573000000.0,,,,
2025-05-08,2025,10-Q,Q1,Instacart,CART,gig,4115000000.0,260964000.0,35000000.0,836000000.0,130000000.0,144000000.0,820000000.0,,3750000000.0,,,,
2025-08-08,2025,10-Q,Q2,Instacart,CART,gig,4115000000.0,260964000.0,42000000.0,836000000.0,130000000.0,196000000.0,1643000000.0,,3750000000.0,,,,
2025-11-10,2025,10-Q,Q3,Instacart,CART,gig,4115000000.0,260964000.0,77000000.0,836000000.0,130000000.0,334000000.0,2495000000.0,,3750000000.0,,,,
