filed_date,fiscal_year,form,fiscal_period,Assets,CommonStockSharesOutstanding,EarningsPerShareDiluted,Liabilities,NetIncomeLoss,OperatingExpenses,RevenueFromContractWithCustomerExcludingAssessedTax,WeightedAverageNumberOfSharesOutstandingBasic,ticker,Revenues
2022-05-05,2022,10-Q,Q1,3831809000.0,127022118.0,1.0,3203190000.0,143766000.0,257092000.0,550646000.0,126214735.0,ETSY,
2022-07-28,2022,10-Q,Q2,3831809000.0,127022118.0,1.68,3203190000.0,242020000.0,547918000.0,1079546000.0,126659372.0,ETSY,
2022-11-03,2022,10-Q,Q3,3831809000.0,127022118.0,2.3,3203190000.0,331950000.0,842946000.0,1611975000.0,126753641.0,ETSY,
2023-02-23,2022,10-K,FY,3831809000.0,127022118.0,2.69,3203190000.0,349246000.0,836871000.0,1725625000.0,121251588.0,ETSY,
2023-05-04,2023,10-Q,Q1,2634961000.0,125054278.0,0.6,3182235000.0,86109000.0,321956000.0,579266000.0,127149293.0,ETSY,
2023-08-03,2023,10-Q,Q2,2634961000.0,125054278.0,1.11,3182235000.0,159232000.0,663109000.0,1164401000.0,127171302.0,ETSY,
2023-11-02,2023,10-Q,Q3,2634961000.0,125054278.0,-6.33,3182235000.0,-803836000.0,2037957000.0,1758870000.0,126985731.0,ETSY,
2024-02-22,2023,10-K,FY,2634961000.0,125054278.0,3.4,3182235000.0,493507000.0,1208870000.0,2329114000.0,127224974.0,ETSY,
2024-05-02,2024,10-Q,Q1,2685400000.0,119069000.0,0.53,3229115000.0,74537000.0,367225000.0,640877000.0,124337000.0,ETSY,
2024-08-01,2024,10-Q,Q2,2685400000.0,119069000.0,0.98,3229115000.0,136452000.0,809835000.0,1269753000.0,123971000.0,ETSY,
2024-10-31,2024,10-Q,Q3,2685400000.0,119069000.0,1.62,3229115000.0,224302000.0,1168754000.0,1906055000.0,123341000.0,ETSY,
2025-02-19,2024,10-K,FY,2685400000.0,119069000.0,-5.48,3229115000.0,-694288000.0,2480079000.0,2566111000.0,126779000.0,ETSY,
2025-04-30,2025,10-Q,Q1,2417782000.0,108540000.0,0.48,3176648000.0,63004000.0,390731000.0,645954000.0,118440000.0,ETSY,
2025-07-30,2025,10-Q,Q2,2417782000.0,108540000.0,0.89,3176648000.0,116009000.0,784278000.0,1293760000.0,117445000.0,ETSY,
