Uber,Lyft,DoorDash,Instacart,Fiverr,Upwork,side hustle,gig,Herbalife,Primerica,Nu skin,USANA,Etsy,Shopify,Udemy,year,month,date
67.0,10.0,1.0,2.0,1.0,1.0,0.0,6.0,6.0,2.0,0.0,1.0,49.203125,3.140625,2.09375,2016,1,2016-01-31
70.0,9.0,1.0,1.0,2.0,1.0,0.0,6.0,7.0,2.0,0.0,1.0,50.14925373134328,4.17910447761194,2.08955223880597,2016,2,2016-02-29
62.0,10.0,1.0,1.0,2.0,1.0,0.0,6.0,7.0,2.0,0.0,1.0,47.288135593220346,4.203389830508475,2.1016949152542375,2016,3,2016-03-31
67.0,10.0,2.0,1.0,2.0,1.0,0.0,6.0,7.0,2.0,0.0,1.0,47.41538461538461,4.123076923076923,1.0307692307692307,2016,4,2016-04-30
74.0,13.0,2.0,1.0,2.0,1.0,0.0,6.0,7.0,2.0,0.0,1.0,48.985915492957744,4.169014084507042,1.0422535211267605,2016,5,2016-05-31
80.0,14.0,2.0,1.0,2.0,1.0,0.0,6.0,7.0,2.0,0.0,1.0,45.71428571428571,4.1558441558441555,1.0389610389610389,2016,6,2016-06-30
80.0,16.0,2.0,1.0,1.0,1.0,0.0,7.0,8.0,2.0,0.0,1.0,44.675324675324674,4.1558441558441555,1.0389610389610389,2016,7,2016-07-31
76.0,14.0,2.0,1.0,1.0,1.0,0.0,6.0,6.0,2.0,0.0,1.0,48.93150684931506,4.164383561643835,2.0821917808219177,2016,8,2016-08-31
77.0,16.0,2.0,1.0,1.0,1.0,0.0,6.0,5.0,2.0,0.0,1.0,49.94594594594595,4.162162162162162,1.0405405405405406,2016,9,2016-09-30
78.0,16.0,3.0,2.0,1.0,1.0,0.0,6.0,5.0,2.0,0.0,1.0,48.88,5.2,1.04,2016,10,2016-10-31
78.0,16.0,3.0,2.0,1.0,1.0,0.0,5.0,4.0,2.0,0.0,0.0,55.120000000000005,5.2,2.08,2016,11,2016-11-30
79.0,17.0,3.0,1.0,1.0,1.0,0.0,6.0,4.0,2.0,0.0,0.0,57.171052631578945,4.157894736842105,2.0789473684210527,2016,12,2016-12-31
86.0,19.0,3.0,2.0,2.0,1.0,0.0,5.0,6.0,2.0,0.0,1.0,48.69879518072289,5.1807228915662655,2.072289156626506,2017,1,2017-01-31
81.0,19.0,3.0,2.0,2.0,1.0,0.0,6.0,5.0,2.0,0.0,1.0,47.33766233766234,6.311688311688312,2.103896103896104,2017,2,2017-02-28
79.0,19.0,3.0,2.0,2.0,1.0,0.0,6.0,6.0,2.0,1.0,1.0,45.73684210526316,6.2368421052631575,2.0789473684210527,2017,3,2017-03-31
